"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "CSS", "XML", "TypeScript", "TypeScript JSX", "JSON", "YAML", "Prisma", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\Nikko\arebanextjs\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 2, 8
"c:\Users\Nikko\arebanextjs\.eslintrc.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Nikko\arebanextjs\README.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 39
"c:\Users\Nikko\arebanextjs\analyze\nodejs.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 2, 39
"c:\Users\Nikko\arebanextjs\next.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\Nikko\arebanextjs\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Nikko\arebanextjs\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3132, 0, 0, 0, 0, 452, 3584
"c:\Users\Nikko\arebanextjs\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Nikko\arebanextjs\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 4, 22
"c:\Users\Nikko\arebanextjs\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Nikko\arebanextjs\public\thirteen.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Nikko\arebanextjs\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Nikko\arebanextjs\src\assets\makes.ts", "TypeScript", 0, 0, 0, 0, 0, 752, 0, 0, 0, 0, 0, 0, 0, 1, 753
"c:\Users\Nikko\arebanextjs\src\assets\models.ts", "TypeScript", 0, 0, 0, 0, 0, 11286, 0, 0, 0, 0, 0, 0, 0, 1, 11287
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\buttons.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\desktopIndex.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 4, 64
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\h&f\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\h&f\Menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\h&f\assistant.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\h&f\languagemodal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\h&f\modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 3, 46
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\h&f\navigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 7, 84
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\h&f\navigationlogged.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\h&f\profilemenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 5, 66
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\inputs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 5, 77
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\menuActiveitems.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\menucloseditems.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\registertoggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\specialistmodal\specialistmodal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 7, 160
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\specialistmodal\specialistmodal1.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 5, 59
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\specialistmodal\specialistmodal2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\specialistmodal\specialistmodal3.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Nikko\arebanextjs\src\components\desktopcomponents\steppermodal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Nikko\arebanextjs\src\components\mobilecomponents\Menu\mobilebottom.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Nikko\arebanextjs\src\components\mobilecomponents\Menu\mobiletop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\Nikko\arebanextjs\src\components\mobilecomponents\mobileindex.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 4, 69
"c:\Users\Nikko\arebanextjs\src\hooks\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Nikko\arebanextjs\src\hooks\Layoutlogged.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Nikko\arebanextjs\src\hooks\MLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Nikko\arebanextjs\src\hooks\types.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\Nikko\arebanextjs\src\hooks\useUser.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 13, 58
"c:\Users\Nikko\arebanextjs\src\lib\api.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Nikko\arebanextjs\src\lib\db\prisma.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 4, 18
"c:\Users\Nikko\arebanextjs\src\pages\_app.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 4, 88
"c:\Users\Nikko\arebanextjs\src\pages\_document.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Nikko\arebanextjs\src\pages\about.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\Nikko\arebanextjs\src\pages\add.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 3, 50
"c:\Users\Nikko\arebanextjs\src\pages\api\login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\Nikko\arebanextjs\src\pages\api\register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\Nikko\arebanextjs\src\pages\api\user.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"c:\Users\Nikko\arebanextjs\src\pages\chat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 6, 77
"c:\Users\Nikko\arebanextjs\src\pages\contact.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Nikko\arebanextjs\src\pages\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\Nikko\arebanextjs\src\pages\login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 6, 41
"c:\Users\Nikko\arebanextjs\src\pages\news.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\Nikko\arebanextjs\src\pages\profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 7, 119
"c:\Users\Nikko\arebanextjs\src\pages\register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 5, 49
"c:\Users\Nikko\arebanextjs\src\pages\requests.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 4, 86
"c:\Users\Nikko\arebanextjs\src\styles\globals.css", "CSS", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\Nikko\arebanextjs\tailwind.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\Nikko\arebanextjs\tsconfig.json", "JSON with Comments", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 25
"Total", "-", 23, 23, 23, 24, 3, 12100, 1672, 42, 3132, 16, 2, 36, 18, 672, 17786
